ranking,jp_name,eng_name,agency,total_subs,total_views
198,すももチャンネル, , ,"85,900","18,992,004"
199,フミ,フミ/にじさんじ,にじさんじ(統合後),"85,900","5,206,056"
200,奈羅花(ならか),奈羅花 - Naraka -,にじさんじ(統合後),"85,500","2,788,362"
201,八重沢なとり,八重沢なとり,.LIVE,"85,300","8,688,539"
202,ふくやマスター,マスター TV,upd8,"84,900","1,586,376"
203,雪城眞尋(ゆきしろ まひろ),雪城眞尋/Yukishiro Mahiro【にじさんじ所属】,にじさんじ(統合後),"84,600","3,948,059"
204,シャンデリ【Claw Machine Japan】, , ,"84,100","28,013,441"
205,出雲霞,《IzumoKasumi》Project channel【にじさんじ】,にじさんじ(SEEDs出身),"84,100","5,762,721"
206,朝ノ姉妹ぷろじぇくと, , ,"83,800","8,280,876"
207,Juno, , ,"83,700","2,002,263"
208,伏見ガク,伏見ガク【にじさんじ所属】,にじさんじ(1・2期生),"83,400","960,253"
209,アンジョー コーサカ,MonsterZ MATE,Balus,"83,200","18,344,479"
210,神楽すず, ,.LIVE,"82,400","12,289,618"
211,ウェザーロイドAiri,ウェザーロイド Airi（ポン子）, ,"82,200","7,911,831"
212,れいきら!, , ,"82,100","698,444"
213,のらきゃっと,のらきゃっとチャンネル,upd8,"82,000","3,550,874"
214,柚木玲奈,Reina Official, ,"81,800","6,293,052"
215,白百合リリィ,しらゆりヘブンちゃんねる,ViViD,"81,800","3,782,075"
216,ぽてち,PJ.ぽてち, ,"81,600","3,165,944"
217,ヤマト・イオリ,ヤマト イオリ,.LIVE,"81,100","6,850,294"
218,スマサポチャンネル, , ,"80,700","7,853,774"
219,猫乃木もち, , ,"79,900","4,414,730"
220,小野町春香,小野町春香-OnomachiHaruka-にじさんじ,にじさんじ(統合後),"78,900","4,276,673"
221,リズ,KMNZ LIZ,WFLE,"78,400","6,614,972"
222,チョイ(海外),초이 CHOY, ,"78,300","12,422,777"
223,ハナ・マキア,Hana Macchia Ch.【NIJISANJI id】,NIJISANJI ID,"78,200","2,577,841"
224,鈴木勝,Re‡D.E.放送局【鈴木勝/にじさんじ】,にじさんじ(SEEDs出身),"78,100","5,370,217"
225,赤月ゆに,UNIchannel,順位をツイート,"78,000","3,675,517"
226,ハッカドール,Hacka Channel ハッカドール, ,"77,200","2,975,209"
227,somunia,somunia room,Ficty,"77,000","5,079,527"
228,カルロ・ピノ,カルロ・ピノ,.LIVE,"76,000","8,623,343"
229,藤崎由愛(YUA),YUA/藤崎由愛, ,"74,700","4,087,547"
230,白雪みしろ,白雪みしろShirayuki Mishiro,のりプロ,"74,100","2,447,393"
231,雪汝(セツナ),雪汝*setsuna channel, ,"74,000","4,009,807"
232,鹿乃,鹿乃 / Kano,花寄女子寮,"73,900","2,163,207"
233,リタ,KMNZ LITA,WFLE,"73,800","6,845,381"
234,鈴代ここねと 鈴代つきね(ココツキ),ココツキCocoTsuki Project,upd8,"73,400","4,873,952"
235,吟醸姉妹,吟醸姉妹/Ginjo Shimai, ,"73,300","11,703,147"
236,ユメノシオリ,ユメノシオリ ASMR火曜の女,ぱりぷろ,"73,300","5,609,382"
237,甲斐田晴(かいだはる),甲斐田晴,にじさんじ(統合後),"73,200","2,747,371"
238,Rin Asobi, , ,"73,100","1,759,815"
239,遠北千南(あちきたちなみ),遠北千南 / Achikita Chinami 【にじさんじ】, ,"72,600","1,585,006"
240,癒月ちょこ(サブチャンネル),Choco subCh. 癒月ちょこ,ホロライブ,"72,200","1,538,873"
241,カナメとハルキー, , ,"71,700","6,344,278"
242,ヤッターマン2号カミナリアイ ボヤッキー,Yatterman Channel/ヤッターマンチャンネル, ,"71,700","4,429,238"
243,瀬戸美夜子,瀬戸 美夜子 - Miyako Seto,にじさんじ(統合後),"71,200","3,125,457"
244,少年あしたくん, , ,"71,100","3,996,029"
245,メリーミルク,メリーミルクの森,.LIVE,"70,400","3,026,914"
246,でびっち でびでび・でびる(旧),でび縺」縺。縺ッ豁サ縺ォ縺セ縺励,にじさんじ(SEEDs出身),"69,700","2,548,518"
247,音羽ララ 春歌みこと,ウタゴエ放送部プロジェクト,upd8,"69,300","8,387,811"
248,闇夜乃モルル,闇夜乃モルル / Moruru Yamiyono, ,"69,220",0
249,バーバパパ, , ,"69,100","9,642,780"
250,宇森ひなこ,Hinako Channel / 宇森ひなこ 【あにまーれ】, ,"68,700","1,839,574"
251,.LIVE公式,どっとライブ,.LIVE,"68,200","6,011,902"
252,飛鳥ひな,飛鳥ひな【にじさんじ所属】,にじさんじ(SEEDs出身),"68,100","2,456,679"
253,鳴神裁(なるかみ さばき),Narukami Sabaki Official, ,"68,000","11,863,065"
254,てるとくん, , ,"68,000","5,974,816"
255,鈴谷アキ,鈴谷アキの陽だまりの庭,にじさんじ(1・2期生),"68,000","2,978,540"
256,まこと。2nd channel, ,順位をツイート,"67,900","448,486"
257,轟京子,轟 京子,にじさんじ(SEEDs出身),"67,800","3,071,308"
258,ディープブリザード(深雪),ディープブリザード, ,"67,700","2,990,768"
259,山神カルタ,山神 カルタ,にじさんじ(統合後),"66,900","2,993,103"
260,バーチャルゴリラ, ,VEEMusic,"66,700","5,563,800"
261,グウェル・オス・ガール,グウェル・オス・ガール / Gwelu Os Gar 【にじさんじ】,にじさんじ(統合後),"66,600","5,475,033"
262,マグロナ,まぐろなちゃんねる,upd8,"66,300","3,021,727"
263,木曽あずき, ,.LIVE,"66,300","1,937,734"
264,銀河アリス,銀河アリスの地球侵略ch.,Balus,"65,300","7,880,315"
265,LStypeMiku,LStypeMiku Vtuber Channel, ,"65,300","3,343,329"
266,花香琴音レーサーVtuber, , ,"65,100","7,890,348"
267,まんさや, ,転生組,"64,600","3,711,354"
268,もちひよこ,もちひよこ,もちぷろ,"64,100","4,900,219"
269,kson ONAIR, , ,"63,600","2,887,825"
270,冒志乃らむ,Okashino Ram 冒志乃らむ,ぶいめん,"62,600","1,160,970"
271,蒼月エリ,Eli Channel / 蒼月エリ【ハニスト】, ,"62,243",0
272,白真くま,Shiroma Kuma 白真くま,ぶいめん,"62,200","918,805"
273,エイレーン,エイレーン 改 （Eilene Channel),エイレーン一家,"62,100",0
274,日ノ隈らん,Ran Channel / 日ノ隈らん 【あにまーれ】,あにまーれ,"61,900","5,048,666"
275,長尾景,長尾景 Kei Nagao,にじさんじ(統合後),"61,900","2,284,098"
276,堰代ミコ(せきしろミコ),Mico Channel / 堰代ミコ【ハニスト】,ハニーストラップ,"61,700","4,393,234"
277,ざき/3麻MJ最強位, , ,"61,600","19,144,378"
278,黒咲りん,黒咲りんRin Kurosaki, ,"61,600","1,136,144"
279,牛巻りこ,牛巻 りこ,.LIVE,"61,500","1,550,560"
280,すーぱーそに子,すーぱーそに子ちゃんねる,WFLE,"61,300","2,527,652"
281,セア(海外),세아 스토리, ,"60,100","4,675,479"
